101;GUATEMALA;1
102;SANTA CATARINA PINULA;1
103;SAN JOSE PINULA;1
104;SAN JOSE DEL GOLFO;1
105;PALENCIA;1
106;CHINAUTLA;1
107;SAN PEDRO AYAMPUC;1
108;MIXCO;1
109;SAN PEDRO SACATEPEQUEZ;1
110;SAN JUAN SACATEPEQUEZ;1
111;SAN RAYMUNDO;1
112;CHUARRANCHO;1
113;FRAIJANES;1
114;AMATITLAN;1
115;VILLA NUEVA;1
116;VILLA CANALES;1
117;SAN MIGUEL PETAPA;1
201;GUASTATOYA;2
202;MORAZAN;2
203;SAN AGUSTIN ACASAGUASTLAN;2
204;SAN CRISTOBAL ACASAGUASTLAN;2
205;EL JICARO;2
206;SANSARE;2
207;SANARATE;2
208;SAN ANTONIO LA PAZ;2
301;ANTIGUA;3
302;JOCOTENANGO;3
303;PASTORES;3
304;SUMPANGO;3
305;SANTO DOMINGO XENACOJ;3
306;SANTIAGO SACATEPEQUEZ;3
307;SAN BARTOLOME MILPAS ALTAS;3
308;SAN LUCAS SACATEPEQUEZ;3
309;SANTA LUCIA MILPAS ALTAS;3
310;MAGDALENA MILPAS ALTAS;3
311;SANTA MARIA DE JESUS;3
312;CIUDAD VIEJA;3
313;SAN MIGUEL DUENAS;3
314;ALOTENANGO;3
315;SAN ANTONIO AGUAS CALIENTES;3
316;SANTA CATARINA BARAHONA;3
401;CHIMALTENANGO;4
402;SAN JOSE POAQUIL;4
403;SAN MARTIN JILOTEPEQUE;4
404;SAN JUAN COMALAPA;4
405;SANTA APOLONIA;4
406;TECPAN GUATEMALA;4
407;PATZUN;4
408;SAN MIGUEL POCHUTA;4
409;PATZICIA;4
410;SANTA CRUZ BALANYA;4
411;ACATENANGO;4
412;SAN PEDRO YEPOCAPA;4
413;SAN ANDRES ITZAPA;4
414;PARRAMOS;4
415;ZARAGOZA;4
416;EL TEJAR;4
501;ESCUINTLA;5
502;SANTA LUCIA COTZUMALGUAPA;5
503;LA DEMOCRACIA;5
504;SIQUINALA;5
505;MASAGUA;5
506;TIQUISATE;5
507;LA GOMERA;5
508;GUANAGAZAPA;5
509;SAN JOSE;5
510;IZTAPA;5
511;PALIN;5
512;SAN VICENTE PACAYA;5
513;NUEVA CONCEPCION;5
514;SIPACATE;5
601;CUILAPA;6
602;BARBERENA;6
603;SANTA ROSA DE LIMA;6
604;CASILLAS;6
605;SAN RAFAEL LAS FLORES;6
606;ORATORIO;6
607;SAN JUAN TECUACO;6
608;CHIQUIMULILLA;6
609;TAXISCO;6
610;SANTA MARIA IXHUATAN;6
611;GUAZACAPAN;6
612;SANTA CRUZ NARANJO;6
613;PUEBLO NUEVO VI�AS;6
614;NUEVA SANTA ROSA;6
701;SOLOLA;7
702;SAN JOSE CHACAYA;7
703;SANTA MARIA VISITACION;7
704;SANTA LUCIA UTATLAN;7
705;NAHUALA;7
706;SANTA CATARINA IXTAHUACAN;7
707;SANTA CLARA LA LAGUNA;7
708;CONCEPCION;7
709;SAN ANDRES SEMETABAJ;7
710;PANAJACHEL;7
711;SANTA CATARINA PALOPO;7
712;SAN ANTONIO PALOPO;7
713;SAN LUCAS TOLIMAN;7
714;SANTA CRUZ LA LAGUNA;7
715;SAN PABLO LA LAGUNA;7
716;SAN MARCOS LA LAGUNA;7
717;SAN JUAN LA LAGUNA;7
718;SAN PEDRO LA LAGUNA;7
719;SANTIAGO ATITLAN;7
801;TOTONICAPAN;8
802;SAN CRISTOBAL TOTONICAPAN;8
803;SAN FRANCISCO EL ALTO;8
804;SAN ANDRES XECUL;8
805;MOMOSTENANGO;8
806;SANTA MARIA CHIQUIMULA;8
807;SANTA LUCIA LA REFORMA;8
808;SAN BARTOLO AGUAS CALIENTES;8
901;QUETZALTENANGO;9
902;SALCAJA;9
903;OLINTEPEQUE;9
904;SAN CARLOS SIJA;9
905;SIBILIA;9
906;CABRICAN;9
907;CAJOLA;9
908;SAN MIGUEL SIGUILA;9
909;SAN JUAN OSTUNCALCO;9
910;SAN MATEO;9
911;CONCEPCION CHIQUIRICHAPA;9
912;SAN MARTIN SACATEPEQUEZ;9
913;ALMOLONGA;9
914;CANTEL;9
915;HUITAN;9
916;ZUNIL;9
917;COLOMBA COSTA CUCA;9
918;SAN FRANCISCO LA UNION;9
919;EL PALMAR;9
920;COATEPEQUE;9
921;GENOVA COSTA CUCA;9
922;FLORES COSTA CUCA;9
923;LA ESPERANZA;9
924;PALESTINA DE LOS ALTOS;9
1001;MAZATENANGO;10
1002;CUYOTENANGO;10
1003;SAN FRANCISCO ZAPOTITLAN;10
1004;SAN BERNARDINO;10
1005;SAN JOSE EL IDOLO;10
1006;SANTO DOMINGO SUCHITEPEQUEZ;10
1007;SAN LORENZO;10
1008;SAMAYAC;10
1009;SAN PABLO JOCOPILAS;10
1010;SAN ANTONIO SUCHITEPEQUEZ;10
1011;SAN MIGUEL PANAM;10
1012;SAN GABRIEL;10
1013;CHICACAO;10
1014;PATULUL;10
1015;SANTA BARBARA;10
1016;SAN JUAN BAUTISTA;10
1017;SANTO TOMAS LA UNION;10
1018;ZUNILITO;10
1019;PUEBLO NUEVO;10
1020;RIO BRAVO;10
1021;SAN JOS� LA MAQUINA;10
1101;RETALHULEU;11
1102;SAN SEBASTIAN;11
1103;SANTA CRUZ MULUA;11
1104;SAN MARTIN ZAPOTITLAN;11
1105;SAN FELIPE;11
1106;SAN ANDRES VILLA SECA;11
1107;CHAMPERICO;11
1108;NUEVO SAN CARLOS;11
1109;EL ASINTAL;11
1201;SAN MARCOS;12
1202;SAN PEDRO SACATEPEQUEZ;12
1203;SAN ANTONIO SACATEPEQUEZ;12
1204;COMITANCILLO;12
1205;SAN MIGUEL IXTAHUACAN;12
1206;CONCEPCION TUTUAPA;12
1207;TACANA;12
1208;SIBINAL;12
1209;TAJUMULCO;12
1210;TEJUTLA;12
1211;SAN RAFAEL PIE DE LA CUESTA;12
1212;NUEVO PROGRESO;12
1213;EL TUMBADOR;12
1214;SAN JOSE EL RODEO;12
1215;MALACATAN;12
1216;CATARINA;12
1217;AYUTLA (TECUN UMAN);12
1218;OCOS;12
1219;SAN PABLO;12
1220;EL QUETZAL;12
1221;LA REFORMA;12
1222;PAJAPITA;12
1223;IXCHIGUAN;12
1224;SAN JOSE OJETENAN;12
1225;SAN CRISTOBAL CUCHO;12
1226;SIPACAPA;12
1227;ESQUIPULAS PALO GORDO;12
1228;RIO BLANCO;12
1229;SAN LORENZO;12
1230;LA BLANCA;12
1301;HUEHUETENANGO;13
1302;CHIANTLA;13
1303;MALACATANCITO;13
1304;CUILCO;13
1305;NENTON;13
1306;SAN PEDRO NECTA;13
1307;JACALTENANGO;13
1308;SAN PEDRO SOLOMA;13
1309;SAN ILDEFONSO IXTAHUACAN;13
1310;SANTA BARBARA;13
1311;LA LIBERTAD;13
1312;LA DEMOCRACIA;13
1313;SAN MIGUEL ACATAN;13
1314;SAN RAFAEL LA INDEPENDENCIA;13
1315;TODOS SANTOS CUCHUMATAN;13
1316;SAN JUAN ATITAN;13
1317;SANTA EULALIA;13
1318;SAN MATEO IXTATAN;13
1319;COLOTENANGO;13
1320;SAN SEBASTIAN HUEHUETENANGO;13
1321;TECTITAN;13
1322;CONCEPCION HUISTA;13
1323;SAN JUAN IXCOY;13
1324;SAN ANTONIO HUISTA;13
1325;SAN SEBASTIAN COATAN;13
1326;SANTA CRUZ BARILLAS;13
1327;AGUACATAN;13
1328;SAN RAFAEL PETZAL;13
1329;SAN GASPAR IXCHIL;13
1330;SANTIAGO CHIMALTENANGO;13
1331;SANTA ANA HUISTA;13
1332;UNI�N CANTINIL;13
1333;PETAT�N;13
1401;SANTA CRUZ DEL QUICHE;14
1402;CHICHE;14
1403;CHINIQUE;14
1404;ZACUALPA;14
1405;CHAJUL;14
1406;STO TOMAS CHICHICASTENANGO;14
1407;PATZITE;14
1408;SAN ANTONIO ILOTENANGO;14
1409;SAN PEDRO JOCOPILAS;14
1410;CUNEN;14
1411;SAN JUAN COTZAL;14
1412;JOYABAJ;14
1413;NEBAJ;14
1414;SAN ANDRES SAJCABAJA;14
1415;SAN MIGUEL USPANTAN;14
1416;SACAPULAS;14
1417;SAN BARTOLOME JOCOTENANGO;14
1418;CANILLA;14
1419;CHICAMAN;14
1420;IXCAN;14
1421;PACHALUN;14
1501;SALAMA;15
1502;SAN MIGUEL CHICAJ;15
1503;RABINAL;15
1504;CUBULCO;15
1505;GRANADOS;15
1506;SANTA CRUZ EL CHOL;15
1507;SAN JERONIMO;15
1508;PURULHA;15
1601;COBAN;16
1602;SANTA CRUZ VERAPAZ;16
1603;SAN CRISTOBAL VERAPAZ;16
1604;TACTIC;16
1605;TAMAHU;16
1606;SAN MIGUEL TUCURU;16
1607;PANZOS;16
1608;SENAHU;16
1609;SAN PEDRO CARCHA;16
1610;SAN JUAN CHAMELCO;16
1611;LANQUIN;16
1612;SANTA MARIA CAHABON;16
1613;CHISEC;16
1614;CHAHAL;16
1615;FRAY BARTOLOME DE LAS CASAS;16
1616;LA TINTA;16
1617;RAXRUH�;16
1701;FLORES;17
1702;SAN JOSE;17
1703;SAN BENITO;17
1704;SAN ANDRES;17
1705;LA LIBERTAD;17
1706;SAN FRANCISCO;17
1707;SANTA ANA;17
1708;DOLORES;17
1709;SAN LUIS;17
1710;SAYAXCHE;17
1711;MELCHOR DE MENCOS;17
1712;POPTUN;17
1714;LAS CRUCES;17
1715;EL CHAL;17
1801;PUERTO BARRIOS;18
1802;LIVINGSTON;18
1803;EL ESTOR;18
1804;MORALES;18
1805;LOS AMATES;18
1901;ZACAPA;19
1902;ESTANZUELA;19
1903;RIO HONDO;19
1904;GUALAN;19
1905;TECULUTAN;19
1906;USUMATLAN;19
1907;CABANAS;19
1908;SAN DIEGO;19
1909;LA UNION;19
1910;HUITE;19
1911;SAN JORGE;19
2001;CHIQUIMULA;20
2002;SAN JOSE LA ARADA;20
2003;SAN JUAN LA ERMITA;20
2004;JOCOTAN;20
2005;CAMOTAN;20
2006;OLOPA;20
2007;ESQUIPULAS;20
2008;CONCEPCION LAS MINAS;20
2009;QUEZALTEPEQUE;20
2010;SAN JACINTO;20
2011;IPALA;20
2101;JALAPA;21
2102;SAN PEDRO PINULA;21
2103;SAN LUIS JILOTEPEQUE;21
2104;SAN MANUEL CHAPARRON;21
2105;SAN CARLOS ALZATATE;21
2106;MONJAS;21
2107;MATAQUESCUINTLA;21
2201;JUTIAPA;22
2202;EL PROGRESO;22
2203;SANTA CATARINA MITA;22
2204;AGUA BLANCA;22
2205;ASUNCION MITA;22
2206;YUPILTEPEQUE;22
2207;ATESCATEMPA;22
2208;JEREZ;22
2209;EL ADELANTO;22
2210;ZAPOTITLAN;22
2211;COMAPA;22
2212;JALPATAGUA;22
2213;CONGUACO;22
2214;MOYUTA;22
2215;PASACO;22
2216;SAN JOSE ACATEMPA;22
2217;QUESADA;22
